source,target,weight,shared_events
3318,1296,0.1111,1
4363,4575,0.1111,1
1796,480,0.1111,1
4,1038,0.1111,1
4363,789,0.1111,1
532,1296,0.1111,1
2607,789,0.1111,1
2820,2336,0.1111,1
35,549,0.1111,1
1622,3737,0.1111,1
706,480,0.1111,1
2307,4363,0.1111,1
2307,4575,0.1111,1
1796,276,0.1111,1
2307,789,0.1111,1
2,2320,0.1111,1
276,304,0.1111,1
276,480,0.1111,1
26,276,0.1111,1
1063,276,0.1111,1
2138,7069,0.1111,1
2138,1427,0.1111,1
2320,4575,0.1111,1
1296,3018,0.1111,1
1063,706,0.1111,1
1063,304,0.1111,1
10393,893,0.1111,1
1885,966,0.1111,1
17027,2320,0.1111,1
530,276,0.1111,1
17027,2374,0.1111,1
1683,1999,0.1111,1
530,3737,0.1111,1
2611,4363,0.1111,1
529,276,0.1111,1
3609,2336,0.1111,1
531,206,0.1111,1
17027,1885,0.1111,1
3608,2320,0.1111,1
1038,2607,0.1111,1
6193,893,0.1111,1
706,4494,0.1111,1
6193,10393,0.1111,1
3699,966,0.1111,1
532,480,0.1111,1
530,17027,0.1111,1
2607,17027,0.1111,1
6193,426,0.1111,1
3609,2820,0.1111,1
3699,17027,0.1111,1
2640,10393,0.1111,1
706,276,0.1111,1
2638,3737,0.1092,2
14480,480,0.1064,2
10140,480,0.1064,2
14480,10140,0.1064,2
2,5111,0.101,2
343,959,0.1,1
26,1240,0.1,1
622,2336,0.1,1
532,2336,0.1,1
532,549,0.1,1
4825,1984,0.1,1
2294,959,0.1,1
549,2336,0.1,1
3592,3609,0.1,1
70,960,0.1,1
3592,4363,0.1,1
70,647,0.1,1
70,3699,0.1,1
3592,1984,0.1,1
1291,959,0.1,1
6207,4707,0.1,1
70,2336,0.1,1
4363,1984,0.1,1
3737,426,0.1,1
529,2336,0.1,1
529,959,0.1,1
3609,1984,0.1,1
3609,4363,0.1,1
549,1240,0.1,1
531,959,0.1,1
3699,647,0.1,1
3699,960,0.1,1
3699,1451,0.1,1
647,960,0.1,1
647,1451,0.1,1
531,549,0.1,1
531,2336,0.1,1
1451,960,0.1,1
1787,2381,0.0962,3
1622,2381,0.0962,3
3608,2381,0.0962,3
3608,5245,0.0935,3
2,6430,0.0909,1
17027,6430,0.0909,1
6430,7108,0.0909,1
2138,5111,0.0909,1
2138,10140,0.0909,1
3592,966,0.0909,1
3592,6430,0.0909,1
531,17027,0.0909,1
2820,10140,0.0909,1
2307,2381,0.0909,1
3592,17027,0.0909,1
531,3737,0.0909,1
531,966,0.0909,1
2138,2820,0.0909,1
2138,3545,0.0909,1
6430,966,0.0909,1
17027,3535,0.0909,1
2820,3545,0.0909,1
3592,3737,0.0909,1
668,303,0.0909,1
3737,6430,0.0909,1
2638,3545,0.0909,1
7108,3545,0.0909,1
3535,4575,0.0909,1
10140,3545,0.0909,1
668,3531,0.0909,1
10140,5111,0.0909,1
72,668,0.0909,1
549,1264,0.0909,1
586,3535,0.0909,1
1038,1265,0.0909,1
622,1182,0.0909,1
1038,2433,0.0909,1
1038,1683,0.0909,1
1265,2433,0.0909,1
531,2638,0.0909,1
2820,5111,0.0909,1
70,3545,0.0909,1
1544,17072,0.0909,1
3608,4363,0.0909,1
1569,303,0.0909,1
72,2638,0.0897,2
72,2160,0.0897,2
2638,2160,0.0897,2
329,4021,0.0833,1
1063,329,0.0833,1
613,10239,0.0833,1
2607,2611,0.0833,1
3699,1677,0.0833,1
395,403,0.0833,2
1265,4021,0.0833,1
1063,1265,0.0833,1
1063,4021,0.0833,1
3608,5111,0.0801,2
1569,3973,0.0769,1
531,986,0.0769,1
529,2160,0.0769,1
55,1685,0.0769,1
652,10393,0.0769,1
304,986,0.0769,1
329,966,0.0769,1
1024,2638,0.0769,1
1024,3531,0.0769,1
1569,426,0.0769,1
1024,4363,0.0769,1
2,2638,0.0769,1
2,329,0.0769,1
1024,991,0.0769,1
1024,1685,0.0769,1
2160,305,0.0769,1
2160,303,0.0769,1
1685,1265,0.0769,1
4363,991,0.0769,1
4363,3531,0.0769,1
4,174,0.0769,1
1683,986,0.0769,1
1683,3545,0.0769,1
1683,4506,0.0769,1
1569,1685,0.0769,1
4363,1885,0.0769,1
1810,305,0.0769,1
652,3955,0.0769,1
530,1810,0.0769,1
2160,1810,0.0769,1
1024,1569,0.0769,1
986,480,0.0769,1
1024,1265,0.0769,1
3737,1427,0.0769,1
3737,329,0.0769,1
531,480,0.0769,1
531,1810,0.0769,1
2638,3839,0.0769,1
1685,3839,0.0769,1
1685,10393,0.0769,1
1685,3955,0.0769,1
1683,480,0.0769,1
1265,1362,0.0769,1
1683,304,0.0769,1
3839,991,0.0769,1
4,1885,0.0769,1
4,4363,0.0769,1
652,3839,0.0769,1
530,305,0.0769,1
26,2160,0.0769,1
26,1362,0.0769,1
26,1265,0.0769,1
1569,1265,0.0769,1
4363,426,0.0769,1
2638,1685,0.0769,1
2638,4363,0.0769,1
2638,3531,0.0769,1
529,1810,0.0769,1
2638,966,0.0769,1
174,4363,0.0769,1
174,1885,0.0769,1
529,305,0.0769,1
586,652,0.0769,1
10393,3839,0.0769,1
2638,3955,0.0769,1
529,1683,0.0769,1
51,344,0.0714,1
920,7069,0.0714,1
2,1544,0.0714,1
304,1362,0.0714,1
1362,7108,0.0714,1
946,991,0.0714,1
789,426,0.0714,1
1291,1362,0.0714,1
1291,304,0.0714,1
4363,7069,0.0714,1
4363,920,0.0714,1
530,1362,0.0714,1
35,789,0.0714,1
1622,7069,0.0714,1
1622,4363,0.0714,1
1240,1291,0.0714,1
1240,1362,0.0714,1
613,712,0.0714,1
549,613,0.0714,1
4682,789,0.0714,1
6193,51,0.0714,1
1265,789,0.0714,1
1038,763,0.0714,1
531,1362,0.0714,1
2638,647,0.0714,1
529,1362,0.0714,1
2638,712,0.0714,1
1632,6353,0.0708,2
1632,2381,0.0708,2
6353,2381,0.0708,2
2638,344,0.0693,2
893,991,0.0667,1
1677,1451,0.0667,1
1677,1265,0.0667,1
1265,893,0.0667,1
1677,893,0.0667,1
2,1677,0.0667,1
1677,991,0.0667,1
1038,2611,0.0667,1
738,343,0.0667,1
55,1677,0.0667,1
2,893,0.0667,1
55,1265,0.0667,1
